City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,Zyryanovsk,49.7386,84.2719,27.36,95,100,1.36,KZ,2022-04-02 00:53:36
251,Clyde River,70.4692,-68.5914,10.63,92,100,6.91,CA,2022-04-02 00:53:36
252,Half Moon Bay,37.4636,-122.4286,73.42,71,20,26.46,US,2022-04-02 00:53:36
253,Iisalmi,63.5592,27.1907,7.88,99,85,1.86,FI,2022-04-02 00:53:37
254,Bathsheba,13.2167,-59.5167,77.61,78,40,17.27,BB,2022-04-02 00:53:37
255,Shingu,33.7333,135.9833,50.68,47,100,4.38,JP,2022-04-02 00:53:38
256,Kamaishi,39.2667,141.8833,41.67,43,3,3.96,JP,2022-04-02 00:53:38
257,Birao,10.2849,22.7882,78.04,17,88,5.3,CF,2022-04-02 00:53:38
258,Narasimharajapura,13.6167,75.5167,69.75,94,12,1.7,IN,2022-04-02 00:53:39
259,Faanui,-16.4833,-151.75,82.2,68,100,1.16,PF,2022-04-02 00:49:22
260,Mwinilunga,-11.7358,24.4293,59.88,97,6,3.0,ZM,2022-04-02 00:53:39
261,Nortelandia,-14.4547,-56.8028,63.14,89,99,3.67,BR,2022-04-02 00:53:40
262,Miraflores,19.2167,-98.8083,78.87,27,98,5.53,MX,2022-04-02 00:53:40
263,Fukuma,33.7667,130.4667,57.29,49,100,7.85,JP,2022-04-02 00:53:41
264,Nakhon Phanom,17.3333,104.4167,62.4,68,100,12.71,TH,2022-04-02 00:53:41
265,Allapalli,19.4167,80.0667,79.27,59,11,4.79,IN,2022-04-02 00:53:41
266,Tautira,-17.7333,-149.15,81.79,75,76,9.48,PF,2022-04-02 00:53:42
267,Vardo,70.3705,31.1107,27.37,71,100,21.41,NO,2022-04-02 00:53:42
268,Elat,29.5581,34.9482,69.64,21,0,6.91,IL,2022-04-02 00:53:43
269,Loreto,22.2667,-101.9667,73.13,9,0,11.97,MX,2022-04-02 00:53:43
270,Morrope,-6.5417,-80.0111,71.71,73,82,14.88,PE,2022-04-02 00:53:44
271,Saint-Pierre,-21.3393,55.4781,73.08,94,75,10.36,RE,2022-04-02 00:54:44
272,Bani,18.2833,-70.3333,79.86,81,8,9.66,DO,2022-04-02 00:54:44
273,Arlit,18.7369,7.3853,82.17,4,100,7.31,NE,2022-04-02 00:54:45
274,Kavieng,-2.5744,150.7967,76.55,92,100,8.41,PG,2022-04-02 00:54:45
275,Port Blair,11.6667,92.75,78.84,89,20,2.3,IN,2022-04-02 00:54:46
276,Acarau,-2.8856,-40.12,76.26,87,100,6.91,BR,2022-04-02 00:54:46
277,Thompson,55.7435,-97.8558,21.36,79,100,11.5,CA,2022-04-02 00:54:46
278,Damoh,23.8333,79.45,78.94,16,0,0.27,IN,2022-04-02 00:54:47
279,Sar-E Pul,35.8333,66.1667,47.8,50,0,1.19,AF,2022-04-02 00:54:47
280,Vestmannaeyjar,63.4427,-20.2734,43.5,77,100,4.68,IS,2022-04-02 00:54:48
281,Baculin,7.4525,126.5842,83.41,72,71,9.62,PH,2022-04-02 00:54:48
282,Wuda,39.4994,106.7117,41.76,33,0,10.92,CN,2022-04-02 00:54:48
283,Katsuura,35.1333,140.3,48.69,57,100,10.83,JP,2022-04-02 00:54:49
284,Wana,32.2989,69.5725,61.66,18,0,7.58,PK,2022-04-02 00:54:49
285,Siguiri,11.6667,-9.5,92.84,16,100,1.95,GN,2022-04-02 00:54:50
286,Codrington,-38.2667,141.9667,64.09,58,100,13.13,AU,2022-04-02 00:54:50
287,Kishi,9.0833,3.85,79.93,55,100,9.53,NG,2022-04-02 00:54:51
288,Port Keats,-14.25,129.55,88.74,49,6,4.03,AU,2022-04-02 00:54:51
289,Prudentopolis,-25.2131,-50.9778,54.28,99,100,4.21,BR,2022-04-02 00:54:52
290,Hattiesburg,31.3271,-89.2903,64.89,61,0,3.44,US,2022-04-02 00:54:52
